Policy_Size,KeyGen_ms,VerifyKey_ms,Encrypt_ms,VerifyCiphertext_ms,KeyVerify_Overhead,CiphertextVerify_Overhead,Total_VABE_Overhead,Verification_Percentage
10,82.66,79.43,68.49,28.55,0.9609242680861361,0.4168491750620529,1.6407548065511512,39.05244122965642
20,12.1,35.88,24.56,38.25,2.9652892561983473,1.5574104234527688,2.443341121495327,59.07243605068133
50,22.87,83.18,57.72,86.63,3.6370791429820724,1.500866250866251,2.3092521202775638,56.695936696604456
100,41.71,161.52,107.28,168.0,3.872452649244785,1.5659955257270695,2.894337453291175,65.44977853695354
1000,377.45,1580.57,1053.37,1606.71,4.187495032454629,1.525304498894026,3.08146179315209,67.54786957857817
2000,753.75,3166.11,2093.04,3206.95,4.200477611940299,1.5321971868669497,2.982708628885737,66.47342652528636
5000,2292.0,7934.56,5254.51,8017.52,3.4618499127399653,1.5258359009688822,3.0227892338242346,66.91797136200377
10000,4016.55,16273.94,10641.28,16082.28,4.0517210043445235,1.5113106693931557,2.9830696184106253,66.47748366889277
20000,7591.68,32525.4,20874.28,32628.68,4.284348128477491,1.563104451985889,3.111106250848521,67.85709264261673
50000,18883.01,79228.16,52562.99,80522.58,4.195737861707429,1.531925409874895,3.192213786717181,68.67377729646412
100000,38164.05,160712.15,107582.34,165225.25,4.211087397694951,1.5358027163194254,3.1471442569131227,68.22516165875248
200000,75879.69,316810.06,210143.64,321073.91,4.175162813659361,1.527878312186845,3.1536412661946227,68.29062294689398
500000,186209.64,796215.5,527242.03,880171.1,4.275909131235096,1.6693872072376323,3.2736219566040434,69.45279530574233
